Bakerloo,Harrow & Wealdstone,Kenton,2
Bakerloo,Kenton,South Kenton,2
Bakerloo,South Kenton,North Wembley,2
Bakerloo,North Wembley,Wembley Central,2
Bakerloo,Wembley Central,Stonebridge Park,2
Bakerloo,Stonebridge Park,Harlesden,2
Bakerloo,Harlesden,Willesden Junction,2
Bakerloo,Willesden Junction,Kensal Green,3
Bakerloo,Kensal Green,Queen's Park,2
Bakerloo,Queen's Park,Kilburn Park,2
Bakerloo,Kilburn Park,Maida Vale,2
Bakerloo,Maida Vale,Warwick Avenue,1
Bakerloo,Warwick Avenue,Paddington,2
Bakerloo,Paddington,Edgware Road,2
Bakerloo,Edgware Road,Marylebone,1
Bakerloo,Marylebone,Baker Street,2
Bakerloo,Baker Street,Regent's Park,2
Bakerloo,Regent's Park,Oxford Circus,2
Bakerloo,Oxford Circus,Piccadilly Circus,2
Bakerloo,Piccadilly Circus,Charing Cross,2
Bakerloo,Charing Cross,Embankment,1
Bakerloo,Embankment,Waterloo,2
Bakerloo,Waterloo,Lambeth North,2
Bakerloo,Lambeth North,Elephant & Castle,3
Central,Epping,Theydon Bois,3
Central,Theydon Bois,Debden,3
Central,Debden,Loughton,2
Central,Loughton,Buckhurst Hill,3
Central,Buckhurst Hill,Woodford,2
Central,Woodford,South Woodford,3
Central,South Woodford,Snaresbrook,2
Central,Snaresbrook,Leytonstone,2
Central,Roding Valley,Woodford,4
Central,Roding Valley,Chigwell,3
Central,Chigwell,Grange Hill,2
Central,Grange Hill,Hainault,5
Central,Hainault,Fairlop,2
Central,Fairlop,Barkingside,2
Central,Barkingside,Newbury Park,2
Central,Newbury Park,Gants Hill,3
Central,Gants Hill,Redbridge,2
Central,Redbridge,Wanstead,2
Central,Wanstead,Leytonstone,2
Central,Leytonstone,Leyton,2
Central,Leyton,Stratford,3
Central,Stratford,Mile End,4
Central,Mile End,Bethnal Green,2
Central,Bethnal Green,Liverpool Street,3
Central,Liverpool Street,Bank,2
Central,Bank,St. Paul's,2
Central,St. Paul's,Chancery Lane,2
Central,Chancery Lane,Holborn,1
Central,Holborn,Tottenham,2
Central,Tottenham,Oxford Circus,1
Central,Oxford Circus,Bond Street,2
Central,Bond Street,Marble Arch,2
Central,Marble Arch,Lancaster Gate,3
Central,Lancaster Gate,Queensway,2
Central,Queensway,Notting Hill Gate,2
Central,Notting Hill Gate,Holland Park,1
Central,Holland Park,Shepherd's Bush,2
Central,Shepherd's Bush,White City,3
Central,White City,East Acton,3
Central,East Acton,North Acton,2
Central,North Acton,Hanger Lane,3
Central,North Acton,West Acton,2
Central,West Acton,Ealing Broadway,3
Central,Hanger Lane,Perivale,3
Central,Perivale,Greenford,2
Central,Greenford,Northolt,2
Central,Northolt,South Ruislip,3
Central,South Ruislip,Ruislip Gardens,2
Central,Ruislip Gardens,West Ruislip,2
Circle,Edgware Road,Paddington,3
Circle,Paddington,Bayswater,2
Circle,Bayswater,Notting Hill Gate,2
Circle,Notting Hill Gate,High Street Kensington,2
Circle,High Street Kensington,Gloucester Road,3
Circle,Gloucester Road,South Kensington,3
Circle,South Kensington,Sloane Square,2
Circle,Sloane Square,Victoria,2
Circle,Victoria,St. James's Park,2
Circle,St. James's Park,Westminster,2
Circle,Westminster,Embankment,1
Circle,Embankment,Temple,2
Circle,Temple,Blackfriars,1
Circle,Blackfriars,Mansion House,2
Circle,Mansion House,Cannon Street,2
Circle,Cannon Street,Monument,1
Circle,Monument,Tower Hill,2
Circle,Tower Hill,Aldgate,2
Circle,Aldgate,Liverpool Street,3
Circle,Liverpool Street,Moorgate,2
Circle,Moorgate,Barbican,2
Circle,Barbican,Farringdon,1
Circle,Farringdon,King's Cross St. Pancras,4
Circle,King's Cross St. Pancras,Euston Square,2
Circle,Euston Square,Great Portland Street,2
Circle,Great Portland Street,Baker Street,2
Circle,Baker Street,Edgware Road,3
Circle,Paddington,Royal Oak,2
Circle,Royal Oak,Westbourne Park,2
Circle,Westbourne Park,Ladbroke Grove,2
Circle,Ladbroke Grove,Latimer Road,2
Circle,Latimer Road,Wood Lane,2
Circle,Wood Lane,Shepherd's Bush Market,2
Circle,Shepherd's Bush Market,Goldhawk Road,1
Circle,Goldhawk Road,Hammersmith,2
District,Upminster,Upminster Bridge,2
District,Upminster Bridge,Hornchurch,2
District,Hornchurch,Elm Park,2
District,Elm Park,Dagenham East,3
District,Dagenham East,Dagenham Heathway,2
District,Dagenham Heathway,Becontree,3
District,Becontree,Upney,2
District,Upney,Barking,3
District,Barking,East Ham,4
District,East Ham,Upton Park,2
District,Upton Park,Plaistow,2
District,Plaistow,West Ham,2
District,West Ham,Bromley-by-Bow,2
District,Bromley-by-Bow,Bow Road,2
District,Bow Road,Mile End,2
District,Mile End,Stepney Green,2
District,Stepney Green,Whitechapel,3
District,Whitechapel,Aldgate East,2
District,Aldgate East,Tower Hill,3
District,Tower Hill,Monument,2
District,Monument,Cannon Street,1
District,Cannon Street,Mansion House,2
District,Mansion House,Blackfriars,2
District,Blackfriars,Temple,1
District,Temple,Embankment,2
District,Embankment,Westminster,1
District,Westminster,St. James's Park,2
District,St. James's Park,Victoria,2
District,Victoria,Sloane Square,2
District,Sloane Square,South Kensington,2
District,South Kensington,Gloucester Road,3
District,Gloucester Road,Earl's Court,2
District,Earl's Court,Kensington (Olympia),3
District,Earl's Court,High Street Kensington,5
District,High Street Kensington,Notting Hill Gate,2
District,Notting Hill Gate,Bayswater,2
District,Bayswater,Paddington,2
District,Paddington,Edgware Road,3
District,Earl's Court,West Brompton,2
District,West Brompton,Fulham Broadway,2
District,Fulham Broadway,Parsons Green,2
District,Parsons Green,Putney Bridge,3
District,Putney Bridge,East Putney,3
District,East Putney,Southfields,2
District,Southfields,Wimbledon Park,2
District,Wimbledon Park,Wimbledon,4
District,Earl's Court,West Kensington,2
District,West Kensington,Barons Court,2
District,Barons Court,Hammersmith,3
District,Hammersmith,Ravenscourt Park,2
District,Ravenscourt Park,Stamford Brook,2
District,Stamford Brook,Turnham Green,1
District,Turnham Green,Gunnersbury,3
District,Gunnersbury,Kew Gardens,2
District,Kew Gardens,Richmond,4
District,Turnham Green,Chiswick Park,2
District,Chiswick Park,Acton Town,2
District,Acton Town,Ealing Common,2
District,Ealing Common,Ealing Broadway,5
Hammersmith & City,Barking,East Ham,4
Hammersmith & City,East Ham,Upton Park,2
Hammersmith & City,Upton Park,Plaistow,2
Hammersmith & City,Plaistow,West Ham,2
Hammersmith & City,West Ham,Bromley-by-Bow,2
Hammersmith & City,Bromley-by-Bow,Bow Road,2
Hammersmith & City,Bow Road,Mile End,2
Hammersmith & City,Mile End,Stepney Green,2
Hammersmith & City,Stepney Green,Whitechapel,3
Hammersmith & City,Whitechapel,Aldgate East,2
Hammersmith & City,Aldgate East,Liverpool Street,3
Hammersmith & City,Liverpool Street,Moorgate,2
Hammersmith & City,Moorgate,Barbican,2
